timestamp,voltage,current,temperature,power
2025-09-03 18:19:01,4.25,1.06,22.2,4.50
2025-09-03 18:19:02,4.38,0.96,22.2,4.20
2025-09-03 18:19:03,4.13,1.07,22.3,4.42
2025-09-03 18:19:04,4.35,1.04,22.4,4.52
2025-09-03 18:19:05,4.47,1.08,22.3,4.83
2025-09-03 18:19:06,4.47,1.12,22.5,5.01
2025-09-03 18:19:07,4.50,1.30,22.4,5.85
2025-09-03 18:19:08,4.19,1.23,22.5,5.15
2025-09-03 18:19:09,4.20,1.16,22.7,4.87
2025-09-03 18:19:10,4.48,1.09,22.7,4.88
2025-09-03 18:19:11,4.32,1.51,22.6,6.52
2025-09-03 18:19:12,4.41,1.32,22.8,5.82
2025-09-03 18:19:13,4.41,1.41,22.8,6.22
2025-09-03 18:19:14,4.43,1.27,22.8,5.63
2025-09-03 18:19:15,4.48,1.41,22.9,6.32
2025-09-03 18:19:16,4.57,1.36,22.9,6.22
2025-09-03 18:19:17,4.41,1.33,23.0,5.87
2025-09-03 18:19:18,4.30,1.34,23.1,5.76
2025-09-03 18:19:19,4.43,1.47,23.1,6.51
2025-09-03 18:19:20,4.24,1.62,23.0,6.87
2025-09-03 18:19:21,4.34,1.53,23.2,6.64
2025-09-03 18:19:22,4.33,1.58,23.2,6.84
2025-09-03 18:19:23,4.49,1.57,23.3,7.05
2025-09-03 18:19:24,4.47,1.55,23.2,6.93
2025-09-03 18:19:25,4.29,1.60,23.3,6.86
2025-09-03 18:19:26,4.28,1.58,23.4,6.76
2025-09-03 18:19:27,4.59,1.70,23.4,7.80
2025-09-03 18:19:28,4.38,1.48,23.4,6.48
2025-09-03 18:19:29,4.37,1.50,23.5,6.55
2025-09-03 18:19:30,4.50,1.47,23.5,6.62
2025-09-03 18:19:31,4.54,1.46,23.6,6.63
2025-09-03 18:19:32,4.35,1.68,23.5,7.31
2025-09-03 18:19:33,4.33,1.44,23.5,6.24
2025-09-03 18:19:34,4.41,1.49,23.6,6.57
2025-09-03 18:19:35,4.35,1.60,23.8,6.96
2025-09-03 18:19:36,4.47,1.44,23.7,6.44
2025-09-03 18:19:37,4.31,1.55,23.7,6.68
2025-09-03 18:19:38,4.42,1.48,23.9,6.54
2025-09-03 18:19:39,4.42,1.60,23.8,7.07
2025-09-03 18:19:40,4.66,1.52,23.9,7.08
2025-09-03 18:19:41,4.28,1.42,23.9,6.08
2025-09-03 18:19:42,4.41,1.38,24.0,6.09
2025-09-03 18:19:43,4.56,1.50,24.0,6.84
2025-09-03 18:19:44,4.61,1.50,24.0,6.92
2025-09-03 18:19:45,4.63,1.26,24.0,5.83
2025-09-03 18:19:46,4.46,1.29,24.0,5.75
2025-09-03 18:19:47,4.29,1.44,24.1,6.18
2025-09-03 18:19:48,4.51,1.31,24.2,5.91
2025-09-03 18:19:49,4.49,1.32,24.2,5.93
2025-09-03 18:19:50,4.44,1.22,24.1,5.42
2025-09-03 18:19:51,4.52,1.19,24.3,5.38
2025-09-03 18:19:52,4.59,1.11,24.2,5.09
2025-09-03 18:19:53,4.24,1.11,24.1,4.71
2025-09-03 18:19:54,4.25,0.99,24.2,4.21
2025-09-03 18:19:55,4.28,1.03,24.2,4.41
2025-09-03 18:19:56,4.29,0.95,24.2,4.08
2025-09-03 18:19:57,4.44,1.07,24.2,4.75
2025-09-03 18:19:58,4.27,0.93,24.3,3.97
2025-09-03 18:19:59,4.57,1.16,24.5,5.30
2025-09-03 18:20:00,4.42,0.92,24.4,4.07
2025-09-03 18:20:01,4.39,1.09,24.3,4.79
2025-09-03 18:20:02,4.35,1.03,24.5,4.48
2025-09-03 18:20:03,4.48,0.89,24.4,3.99
2025-09-03 18:20:04,4.43,1.06,24.5,4.70
2025-09-03 18:20:05,4.30,0.78,24.5,3.35
2025-09-03 18:20:06,4.38,0.79,24.6,3.46
2025-09-03 18:20:07,4.28,1.01,24.6,4.32
2025-09-03 18:20:08,4.44,0.88,24.5,3.91
2025-09-03 18:20:09,4.29,0.82,24.5,3.52
2025-09-03 18:20:10,4.30,0.79,24.5,3.40
2025-09-03 18:20:11,4.39,0.78,24.6,3.42
2025-09-03 18:20:12,4.22,0.90,24.6,3.80
2025-09-03 18:20:13,4.25,0.77,24.7,3.27
2025-09-03 18:20:14,4.18,0.73,24.6,3.05
2025-09-03 18:20:15,4.26,0.85,24.6,3.62
2025-09-03 18:20:16,4.04,0.67,24.7,2.71
2025-09-03 18:20:17,4.25,0.73,24.8,3.10
2025-09-03 18:20:18,4.11,0.81,24.7,3.33
2025-09-03 18:20:19,4.06,0.89,24.7,3.61
2025-09-03 18:20:20,4.04,0.63,24.8,2.55
2025-09-03 18:20:21,4.36,0.80,24.8,3.49
2025-09-03 18:20:22,4.00,0.96,24.7,3.84
2025-09-03 18:20:23,4.26,0.76,24.8,3.24
2025-09-03 18:20:24,4.17,0.92,24.8,3.84
2025-09-03 18:20:25,4.04,0.74,24.7,2.99
