timestamp,voltage,current,temperature,power
2025-09-03 22:02:35,4.44,1.11,22.2,4.93
2025-09-03 22:02:36,4.21,1.16,22.4,4.88
2025-09-03 22:02:37,4.07,1.11,22.3,4.52
2025-09-03 22:02:38,4.43,1.26,22.3,5.58
2025-09-03 22:02:39,4.41,1.26,22.4,5.56
2025-09-03 22:02:40,4.14,1.30,22.4,5.38
2025-09-03 22:02:41,4.30,1.20,22.6,5.16
2025-09-03 22:02:42,4.49,1.11,22.6,4.98
2025-09-03 22:02:43,4.32,1.24,22.5,5.36
2025-09-03 22:02:44,4.24,1.31,22.6,5.55
2025-09-03 22:02:45,4.34,1.20,22.7,5.21
2025-09-03 22:02:46,4.22,1.13,22.8,4.77
2025-09-03 22:02:47,4.53,1.06,22.8,4.80
2025-09-03 22:02:48,4.39,1.34,22.9,5.88
2025-09-03 22:02:49,4.42,1.35,23.0,5.97
2025-09-03 22:02:50,4.41,1.39,22.9,6.13
2025-09-03 22:02:51,4.26,1.27,22.9,5.41
2025-09-03 22:02:52,4.31,1.40,23.1,6.03
2025-09-03 22:02:53,4.34,1.13,23.2,4.90
2025-09-03 22:02:54,4.58,1.43,23.1,6.55
2025-09-03 22:02:55,4.53,1.32,23.3,5.98
2025-09-03 22:02:56,4.59,1.40,23.2,6.43
2025-09-03 22:02:57,4.59,1.49,23.3,6.84
2025-09-03 22:02:58,4.44,1.51,23.5,6.70
2025-09-03 22:02:59,4.51,1.27,23.3,5.73
2025-09-03 22:03:00,4.67,1.53,23.4,7.15
2025-09-03 22:03:01,4.66,1.41,23.6,6.57
2025-09-03 22:03:02,4.57,1.40,23.5,6.40
2025-09-03 22:03:03,4.42,1.29,23.7,5.70
2025-09-03 22:03:04,4.65,1.52,23.6,7.07
2025-09-03 22:03:05,4.55,1.32,23.7,6.01
2025-09-03 22:03:06,4.40,1.23,23.8,5.41
2025-09-03 22:03:07,4.64,1.34,23.9,6.22
2025-09-03 22:03:08,4.63,1.26,24.0,5.83
2025-09-03 22:03:09,4.52,1.42,24.0,6.42
2025-09-03 22:03:10,4.37,1.40,23.9,6.12
2025-09-03 22:03:11,4.43,1.26,24.1,5.58
2025-09-03 22:03:12,4.65,1.27,24.0,5.91
2025-09-03 22:03:13,4.38,1.16,24.0,5.08
2025-09-03 22:03:14,4.62,1.30,24.1,6.01
2025-09-03 22:03:15,4.56,1.08,24.2,4.92
2025-09-03 22:03:16,4.73,1.20,24.2,5.68
2025-09-03 22:03:17,4.57,1.04,24.2,4.75
2025-09-03 22:03:18,4.67,1.27,24.3,5.93
2025-09-03 22:03:19,4.62,1.20,24.3,5.54
2025-09-03 22:03:20,4.52,1.21,24.3,5.47
2025-09-03 22:03:21,4.73,1.18,24.4,5.58
2025-09-03 22:03:22,4.72,1.21,24.4,5.71
2025-09-03 22:03:23,4.62,1.21,24.4,5.59
2025-09-03 22:03:24,4.58,1.01,24.5,4.63
2025-09-03 22:03:25,4.50,1.09,24.5,4.91
2025-09-03 22:03:26,4.45,1.13,24.4,5.03
2025-09-03 22:03:27,4.58,0.94,24.5,4.31
2025-09-03 22:03:28,4.66,0.94,24.5,4.38
2025-09-03 22:03:29,4.44,0.86,24.7,3.82
2025-09-03 22:03:30,4.60,0.98,24.5,4.51
2025-09-03 22:03:31,4.68,1.02,24.6,4.77
2025-09-03 22:03:32,4.55,1.02,24.6,4.64
2025-09-03 22:03:33,4.31,0.71,24.8,3.06
2025-09-03 22:03:34,4.34,0.91,24.7,3.95
2025-09-03 22:03:35,4.51,0.75,24.7,3.38
2025-09-03 22:03:36,4.54,0.89,24.8,4.04
2025-09-03 22:03:37,4.56,0.90,24.7,4.10
2025-09-03 22:03:38,4.54,0.83,24.7,3.77
2025-09-03 22:03:39,4.52,0.61,24.7,2.76
2025-09-03 22:03:40,4.38,0.60,24.8,2.63
2025-09-03 22:03:41,4.60,0.81,24.8,3.73
2025-09-03 22:03:42,4.52,0.54,24.9,2.44
2025-09-03 22:03:43,4.40,0.63,24.8,2.77
2025-09-03 22:03:44,4.28,0.59,24.9,2.53
