timestamp,voltage,current,temperature,power
2025-09-03 18:00:20,4.18,1.06,21.7,4.42
2025-09-03 18:00:21,4.11,1.06,22.2,4.34
2025-09-03 18:00:22,4.32,1.16,22.7,5.01
2025-09-03 18:00:23,4.13,1.04,21.7,4.29
2025-09-03 18:00:24,4.09,1.04,21.8,4.24
2025-09-03 18:00:25,4.25,1.02,22.5,4.33
2025-09-03 18:00:26,4.06,1.03,22.5,4.20
2025-09-03 18:00:27,4.20,1.16,22.6,4.88
2025-09-03 18:00:28,4.09,1.01,22.2,4.13
2025-09-03 18:00:29,4.14,0.97,21.8,4.01
2025-09-03 18:00:30,4.40,0.98,22.5,4.31
2025-09-03 18:00:31,4.29,1.10,22.7,4.69
2025-09-03 18:00:32,4.34,1.26,22.5,5.45
2025-09-03 18:00:33,4.14,0.97,21.7,4.00
2025-09-03 18:00:34,4.18,1.26,22.4,5.26
2025-09-03 18:00:35,4.41,1.26,22.8,5.57
2025-09-03 18:00:36,4.24,1.17,22.5,4.97
2025-09-03 18:00:37,4.39,1.11,22.8,4.86
2025-09-03 18:00:38,4.12,1.11,22.7,4.59
2025-09-03 18:00:39,4.18,1.13,22.7,4.71
2025-09-03 18:00:40,4.49,1.26,23.1,5.65
2025-09-03 18:00:41,4.16,1.09,23.0,4.52
2025-09-03 18:00:42,4.19,1.32,23.3,5.51
2025-09-03 18:00:43,4.16,1.32,22.7,5.49
2025-09-03 18:00:44,4.48,1.33,22.9,5.97
2025-09-03 18:00:45,4.21,1.26,23.2,5.31
2025-09-03 18:00:46,4.27,1.30,22.8,5.56
2025-09-03 18:00:47,4.29,1.11,22.4,4.77
2025-09-03 18:00:48,4.48,1.13,23.2,5.05
2025-09-03 18:00:49,4.17,1.17,22.5,4.88
2025-09-03 18:00:50,4.22,1.27,22.8,5.35
2025-09-03 18:00:51,4.34,1.38,23.2,6.00
2025-09-03 18:00:52,4.38,1.40,22.9,6.11
2025-09-03 18:00:53,4.43,1.22,22.6,5.40
2025-09-03 18:00:54,4.22,1.31,23.7,5.55
2025-09-03 18:00:55,4.38,1.22,23.0,5.33
2025-09-03 18:00:56,4.49,1.31,23.7,5.90
2025-09-03 18:00:57,4.27,1.17,23.1,5.00
2025-09-03 18:00:58,4.37,1.25,23.4,5.47
2025-09-03 18:00:59,4.46,1.35,23.1,6.02
2025-09-03 18:01:00,4.49,1.21,23.1,5.45
2025-09-03 18:01:02,4.52,1.43,23.5,6.47
2025-09-03 18:01:03,4.51,1.35,23.1,6.09
2025-09-03 18:01:04,4.34,1.44,23.1,6.24
2025-09-03 18:01:05,4.28,1.24,23.0,5.32
2025-09-03 18:01:06,4.22,1.30,23.0,5.48
2025-09-03 18:01:07,4.32,1.34,23.2,5.78
2025-09-03 18:01:08,4.46,1.41,23.2,6.28
2025-09-03 18:01:09,4.28,1.36,23.5,5.80
2025-09-03 18:01:10,4.34,1.45,24.0,6.30
2025-09-03 18:01:11,4.38,1.39,23.8,6.09
2025-09-03 18:01:12,4.34,1.24,22.9,5.39
2025-09-03 18:01:13,4.53,1.28,23.8,5.79
2025-09-03 18:01:14,4.41,1.33,23.1,5.88
2025-09-03 18:01:15,4.58,1.48,23.5,6.79
2025-09-03 18:01:16,4.52,1.49,23.5,6.71
2025-09-03 18:01:17,4.30,1.38,23.2,5.94
2025-09-03 18:01:18,4.33,1.28,23.6,5.54
2025-09-03 18:01:19,4.29,1.42,23.9,6.11
2025-09-03 18:01:20,4.48,1.39,24.2,6.25
2025-09-03 18:01:21,4.26,1.34,23.2,5.70
2025-09-03 18:01:22,4.29,1.43,23.5,6.13
2025-09-03 18:01:23,4.33,1.47,23.7,6.36
2025-09-03 18:01:24,4.54,1.31,23.4,5.97
2025-09-03 18:01:25,4.51,1.44,24.3,6.48
2025-09-03 18:01:26,4.43,1.40,23.9,6.21
2025-09-03 18:01:27,4.42,1.44,24.1,6.39
2025-09-03 18:01:28,4.44,1.53,23.8,6.79
2025-09-03 18:01:29,4.64,1.27,23.4,5.88
2025-09-03 18:01:30,4.51,1.46,23.9,6.60
2025-09-03 18:01:31,4.63,1.33,23.7,6.16
2025-09-03 18:01:32,4.37,1.48,23.6,6.46
2025-09-03 18:01:33,4.58,1.26,23.9,5.78
2025-09-03 18:01:34,4.30,1.34,23.4,5.74
2025-09-03 18:01:35,4.57,1.28,23.5,5.83
2025-09-03 18:01:36,4.42,1.54,24.5,6.80
2025-09-03 18:01:37,4.31,1.52,24.0,6.56
2025-09-03 18:01:38,4.31,1.35,23.9,5.80
2025-09-03 18:01:39,4.59,1.38,24.0,6.32
2025-09-03 18:01:40,4.36,1.46,24.5,6.35
2025-09-03 18:01:41,4.65,1.44,23.7,6.71
2025-09-03 18:01:42,4.30,1.48,23.8,6.37
2025-09-03 18:01:43,4.67,1.36,23.6,6.33
2025-09-03 18:01:44,4.65,1.42,24.2,6.63
2025-09-03 18:01:45,4.36,1.40,24.2,6.10
2025-09-03 18:01:46,4.56,1.36,24.4,6.19
2025-09-03 18:01:47,4.39,1.45,24.0,6.34
2025-09-03 18:01:48,4.52,1.46,24.6,6.61
2025-09-03 18:01:49,4.65,1.24,23.5,5.77
2025-09-03 18:01:50,4.31,1.45,24.6,6.22
2025-09-03 18:01:51,4.68,1.43,24.6,6.69
2025-09-03 18:01:52,4.60,1.42,24.6,6.54
2025-09-03 18:01:53,4.56,1.39,24.0,6.33
2025-09-03 18:01:54,4.47,1.22,24.3,5.44
2025-09-03 18:01:55,4.54,1.31,24.4,5.93
2025-09-03 18:01:56,4.66,1.31,24.1,6.11
2025-09-03 18:01:57,4.33,1.41,24.5,6.10
2025-09-03 18:01:58,4.59,1.36,24.0,6.26
2025-09-03 18:01:59,4.45,1.41,24.5,6.28
2025-09-03 18:02:00,4.56,1.27,24.2,5.80
2025-09-03 18:02:02,4.69,1.35,24.3,6.36
2025-09-03 18:02:03,4.54,1.19,24.2,5.42
2025-09-03 18:02:04,4.59,1.36,24.2,6.24
2025-09-03 18:02:05,4.54,1.26,24.2,5.72
2025-09-03 18:02:06,4.37,1.40,24.0,6.13
2025-09-03 18:02:07,4.62,1.18,23.4,5.47
2025-09-03 18:02:08,4.57,1.34,24.1,6.13
2025-09-03 18:02:09,4.45,1.12,24.0,4.97
2025-09-03 18:02:10,4.66,1.19,23.9,5.55
2025-09-03 18:02:11,4.35,1.39,24.8,6.05
2025-09-03 18:02:12,4.58,1.23,24.5,5.62
2025-09-03 18:02:13,4.48,1.35,24.7,6.05
2025-09-03 18:02:14,4.38,1.32,24.3,5.79
2025-09-03 18:02:15,4.66,1.31,23.9,6.10
2025-09-03 18:02:16,4.47,1.17,24.4,5.23
2025-09-03 18:02:17,4.30,1.35,24.7,5.80
2025-09-03 18:02:18,4.57,1.17,24.0,5.34
2025-09-03 18:02:19,4.33,1.24,24.3,5.38
2025-09-03 18:02:20,4.35,1.31,23.8,5.71
2025-09-03 18:02:21,4.41,1.11,23.8,4.89
2025-09-03 18:02:22,4.55,1.02,23.3,4.63
2025-09-03 18:02:23,4.32,1.13,23.9,4.90
2025-09-03 18:02:24,4.52,1.00,23.3,4.53
2025-09-03 18:02:25,4.30,1.25,24.3,5.37
2025-09-03 18:02:26,4.65,1.22,24.7,5.66
2025-09-03 18:02:27,4.42,0.98,23.9,4.33
2025-09-03 18:02:28,4.47,1.07,24.2,4.77
2025-09-03 18:02:29,4.37,1.11,24.0,4.86
2025-09-03 18:02:30,4.64,1.04,23.7,4.82
2025-09-03 18:02:31,4.47,1.21,24.4,5.40
2025-09-03 18:02:32,4.33,1.21,24.4,5.23
2025-09-03 18:02:33,4.55,1.05,24.3,4.79
2025-09-03 18:02:34,4.31,0.97,24.0,4.20
2025-09-03 18:02:35,4.62,1.12,24.1,5.19
2025-09-03 18:02:36,4.24,1.17,24.5,4.97
2025-09-03 18:02:37,4.55,0.99,24.2,4.51
2025-09-03 18:02:38,4.48,0.92,23.7,4.13
2025-09-03 18:02:39,4.39,0.99,24.1,4.36
2025-09-03 18:02:40,4.49,0.96,24.2,4.30
2025-09-03 18:02:41,4.47,0.93,23.7,4.17
2025-09-03 18:02:42,4.33,0.92,23.3,3.99
2025-09-03 18:02:43,4.52,1.06,24.0,4.79
2025-09-03 18:02:44,4.43,0.93,24.1,4.14
2025-09-03 18:02:45,4.30,0.97,24.0,4.19
2025-09-03 18:02:46,4.53,1.01,24.0,4.60
2025-09-03 18:02:47,4.30,0.93,24.1,4.00
2025-09-03 18:02:48,4.45,0.81,24.0,3.59
2025-09-03 18:02:49,4.29,1.02,23.7,4.38
2025-09-03 18:02:50,4.56,0.97,24.2,4.43
2025-09-03 18:02:51,4.24,1.02,24.0,4.32
2025-09-03 18:02:52,4.19,1.00,23.5,4.19
2025-09-03 18:02:53,4.23,0.97,24.1,4.11
2025-09-03 18:02:54,4.28,0.97,23.7,4.16
2025-09-03 18:02:55,4.52,0.82,23.4,3.69
2025-09-03 18:02:56,4.24,0.89,24.0,3.77
2025-09-03 18:02:57,4.20,0.76,23.1,3.19
2025-09-03 18:02:58,4.19,0.97,23.4,4.06
2025-09-03 18:02:59,4.35,0.94,23.9,4.06
2025-09-03 18:03:00,4.29,0.93,23.4,3.97
2025-09-03 18:03:01,4.50,0.75,23.5,3.39
2025-09-03 18:03:02,4.21,0.75,23.6,3.18
2025-09-03 18:03:04,4.36,0.82,23.9,3.55
2025-09-03 18:03:05,4.29,0.69,23.4,2.94
2025-09-03 18:03:06,4.39,0.67,23.2,2.96
2025-09-03 18:03:07,4.23,0.89,23.4,3.79
2025-09-03 18:03:08,4.28,0.84,23.8,3.60
